Alternativa;Economic Quality;Education;Enterprise Conditions;Governance;Health;Infrastructure and Market Access;Investment Environment;Living Conditions;Natural Environment;Personal Freedom;Safety and Security;Social Capital
Afghanistan;33.79;27.58;42.91;31.18;50.98;25.37;30.07;38.92;40.48;41.21;19.71;22.32
Albania;41.81;70.91;56.71;47.94;73.84;60.95;52.37;73.94;58.27;59.78;73.09;44.92
Algeria;37.83;61.87;44.44;39.64;72.47;48.77;37.95;76.62;44.89;39.56;75.23;47.04
Angola;31.44;27.70;33.34;33.81;50.29;31.62;22.79;42.35;50.50;40.18;61.39;44.11
Argentina;36.14;71.40;46.95;55.93;77.19;54.35;53.46;80.64;58.57;77.57;70.43;51.26
Armenia;48.44;68.98;62.10;52.90;74.47;58.91;59.87;77.65;53.67;60.54;74.18;51.47
Australia;66.74;85.69;74.00;85.60;80.19;73.71;77.51;92.95;66.76;85.43;86.53;70.03
Austria;66.81;82.53;76.97;83.99;79.65;79.43;77.74;92.32;73.07;85.99;90.82;67.59
Azerbaijan;47.28;62.74;64.99;36.86;73.38;59.26;59.36;79.34;44.52;35.37;64.60;51.44
Bahrain;49.16;68.60;66.36;41.16;75.36;73.28;67.89;86.30;46.85;30.34;65.76;64.66
Bangladesh;44.23;44.40;48.88;34.10;68.98;42.98;37.41;57.96;44.08;43.05;49.88;51.85
Belarus;58.20;80.73;53.08;41.07;75.33;59.37;51.22;86.05;56.52;36.94;74.91;47.86
Belgium;63.47;83.86;73.50;82.52;80.57;79.47;74.50;92.72;61.25;84.31;85.18;54.62
Belize;36.31;55.56;46.34;45.31;72.43;50.88;40.68;72.99;59.03;65.77;69.06;46.45
Benin;39.58;37.31;54.77;49.99;56.65;35.60;38.68;43.34;49.97;59.73;74.48;42.85
Bolivia;40.47;55.85;37.94;38.52;65.95;44.90;46.18;66.02;60.48;58.53;65.05;46.90
Bosnia and Herzegovina;48.03;65.32;40.73;39.45;70.05;56.96;52.20;84.04;49.08;60.71;78.44;51.49
Botswana;56.84;53.72;54.62;64.26;59.53;46.78;57.04;59.54;46.65;65.07;71.77;49.91
Brazil;47.95;59.27;47.83;51.80;72.02;54.91;56.18;80.42;67.83;66.96;61.25;48.44
Bulgaria;64.39;72.99;59.65;54.29;74.68;64.74;61.05;82.83;56.31;64.90;76.72;52.05
Burkina Faso;40.99;28.63;45.68;44.08;59.06;27.78;39.39;37.95;54.95;63.16;48.66;51.49
Burundi;28.57;34.17;49.28;28.56;57.84;27.88;35.50;29.17;53.81;32.04;39.74;45.12
Cabo Verde;37.27;55.37;50.42;60.30;71.88;39.84;45.10;66.54;55.02;72.33;81.50;53.43
Cambodia;51.78;44.05;41.93;24.40;71.22;48.13;41.49;53.21;54.92;39.08;66.50;53.14
Cameroon;42.68;43.79;42.94;29.28;50.71;34.66;35.64;46.15;52.19;40.12;35.08;48.77
Canada;61.94;87.83;77.29;85.19;78.37;77.64;74.84;92.54;68.11;88.19;88.37;67.63
Central African Republic;40.17;19.46;33.21;26.60;32.81;18.27;27.23;21.12;53.89;36.74;38.32;38.50
Chad;34.97;19.56;32.06;20.96;37.70;18.79;27.65;27.71;53.87;39.86;48.87;39.56
Chile;59.75;73.78;65.37;72.70;75.67;73.95;68.70;85.31;59.35;74.88;67.41;51.52
China;66.60;69.59;66.51;45.95;82.84;68.67;62.11;82.31;47.74;28.17;68.24;58.05
Colombia;48.21;64.30;50.87;49.88;78.75;59.73;57.18;73.44;64.31;62.24;37.23;50.31
Comoros;36.42;36.65;46.02;29.49;59.75;35.28;33.01;47.17;55.89;55.07;75.02;48.70
Congo;31.43;43.47;34.30;26.30;54.82;30.98;32.76;46.49;54.65;42.72;52.72;41.90
Costa Rica;52.88;73.43;61.91;68.65;78.39;66.31;59.95;81.11;68.13;83.06;77.15;53.01
Croatia;57.64;73.74;55.41;59.16;76.10;74.01;61.94;87.54;64.94;70.94;86.80;47.29
Cuba;41.17;70.10;33.35;35.68;79.04;47.60;47.35;74.51;55.03;33.74;65.90;59.31
Cyprus;60.13;78.47;68.05;69.12;79.08;74.81;63.38;88.58;61.59;76.82;79.88;49.96
Czechia;71.61;80.63;63.87;71.09;78.99;75.13;71.40;90.68;66.02;79.34;90.74;55.24
Côte d'Ivoire;47.32;37.52;50.32;44.01;53.47;41.79;44.87;50.92;54.03;54.18;58.11;45.73
